country,iso_code,year,vaccine,coverage_pct
Africa,OWID_AFR,2000,DTP3,55.335575
Africa,OWID_AFR,2001,DTP3,56.13366
Africa,OWID_AFR,2002,DTP3,57.02247
Africa,OWID_AFR,2003,DTP3,59.627296
Africa,OWID_AFR,2004,DTP3,62.330452
Africa,OWID_AFR,2005,DTP3,65.32099
Africa,OWID_AFR,2006,DTP3,67.22611
Africa,OWID_AFR,2007,DTP3,68.78828
Africa,OWID_AFR,2008,DTP3,71.47963
Africa,OWID_AFR,2009,DTP3,74.41143
Africa,OWID_AFR,2010,DTP3,73.46544
Africa,OWID_AFR,2011,DTP3,74.61256
Africa,OWID_AFR,2012,DTP3,71.64807
Africa,OWID_AFR,2013,DTP3,71.82764
Africa,OWID_AFR,2014,DTP3,73.628334
Africa,OWID_AFR,2015,DTP3,73.12444
Africa,OWID_AFR,2016,DTP3,75.71784
Africa,OWID_AFR,2017,DTP3,76.02699
Africa,OWID_AFR,2018,DTP3,77.16107
Africa,OWID_AFR,2019,DTP3,78.15703
Africa,OWID_AFR,2020,DTP3,75.5616
Africa,OWID_AFR,2021,DTP3,74.67615
Africa,OWID_AFR,2022,DTP3,74.54658
Africa,OWID_AFR,2023,DTP3,75.83329
Africa,OWID_AFR,2024,DTP3,
Africa,OWID_AFR,2000,HepB3,12.694634
Africa,OWID_AFR,2001,HepB3,14.137585
Africa,OWID_AFR,2002,HepB3,29.480455
Africa,OWID_AFR,2003,HepB3,32.59442
Africa,OWID_AFR,2004,HepB3,38.011642
Africa,OWID_AFR,2005,HepB3,44.71034
Africa,OWID_AFR,2006,HepB3,49.655983
Africa,OWID_AFR,2007,HepB3,64.58655
Africa,OWID_AFR,2008,HepB3,68.04139
Africa,OWID_AFR,2009,HepB3,72.78368
Africa,OWID_AFR,2010,HepB3,70.83765
Africa,OWID_AFR,2011,HepB3,72.04215
Africa,OWID_AFR,2012,HepB3,71.554855
Africa,OWID_AFR,2013,HepB3,71.58746
Africa,OWID_AFR,2014,HepB3,73.04553
Africa,OWID_AFR,2015,HepB3,73.05498
Africa,OWID_AFR,2016,HepB3,75.65001
Africa,OWID_AFR,2017,HepB3,75.95633
Africa,OWID_AFR,2018,HepB3,77.12315
Africa,OWID_AFR,2019,HepB3,78.157326
Africa,OWID_AFR,2020,HepB3,75.54516
Africa,OWID_AFR,2021,HepB3,74.663315
Africa,OWID_AFR,2022,HepB3,74.54658
Africa,OWID_AFR,2023,HepB3,75.87646
Africa,OWID_AFR,2024,HepB3,
Africa,OWID_AFR,2000,MCV1,54.72067
Africa,OWID_AFR,2001,MCV1,56.288155
Africa,OWID_AFR,2002,MCV1,57.418213
Africa,OWID_AFR,2003,MCV1,59.886723
Africa,OWID_AFR,2004,MCV1,62.025993
Africa,OWID_AFR,2005,MCV1,63.863575
Africa,OWID_AFR,2006,MCV1,66.37255
Africa,OWID_AFR,2007,MCV1,67.29736
Africa,OWID_AFR,2008,MCV1,69.403336
Africa,OWID_AFR,2009,MCV1,73.46289
Africa,OWID_AFR,2010,MCV1,73.391235
Africa,OWID_AFR,2011,MCV1,73.64224
Africa,OWID_AFR,2012,MCV1,72.30815
Africa,OWID_AFR,2013,MCV1,71.619995
Africa,OWID_AFR,2014,MCV1,71.328094
Africa,OWID_AFR,2015,MCV1,70.985695
Africa,OWID_AFR,2016,MCV1,71.4517
Africa,OWID_AFR,2017,MCV1,72.509415
Africa,OWID_AFR,2018,MCV1,72.629005
Africa,OWID_AFR,2019,MCV1,73.30112
Africa,OWID_AFR,2020,MCV1,71.99081
Africa,OWID_AFR,2021,MCV1,70.49194
Africa,OWID_AFR,2022,MCV1,69.95921
Africa,OWID_AFR,2023,MCV1,70.96246
Africa,OWID_AFR,2024,MCV1,
Africa,OWID_AFR,2000,Polio3,56.550716
Africa,OWID_AFR,2001,Polio3,58.199753
Africa,OWID_AFR,2002,Polio3,61.47698
Africa,OWID_AFR,2003,Polio3,63.543938
Africa,OWID_AFR,2004,Polio3,64.98652
Africa,OWID_AFR,2005,Polio3,67.4109
Africa,OWID_AFR,2006,Polio3,68.45577
Africa,OWID_AFR,2007,Polio3,71.50162
Africa,OWID_AFR,2008,Polio3,73.24793
Africa,OWID_AFR,2009,Polio3,75.333496
Africa,OWID_AFR,2010,Polio3,73.83157
Africa,OWID_AFR,2011,Polio3,72.82288
Africa,OWID_AFR,2012,Polio3,72.68205
Africa,OWID_AFR,2013,Polio3,72.19465
Africa,OWID_AFR,2014,Polio3,73.281166
Africa,OWID_AFR,2015,Polio3,73.53381
Africa,OWID_AFR,2016,Polio3,74.910385
Africa,OWID_AFR,2017,Polio3,75.37468
Africa,OWID_AFR,2018,Polio3,76.40605
Africa,OWID_AFR,2019,Polio3,77.713554
Africa,OWID_AFR,2020,Polio3,74.1423
Africa,OWID_AFR,2021,Polio3,72.9164
Africa,OWID_AFR,2022,Polio3,72.956436
Africa,OWID_AFR,2023,Polio3,76.03051
Africa,OWID_AFR,2024,Polio3,
Asia,OWID_ASI,2000,DTP3,71.955734
Asia,OWID_ASI,2001,DTP3,73.00984
Asia,OWID_ASI,2002,DTP3,72.07619
Asia,OWID_ASI,2003,DTP3,73.72502
Asia,OWID_ASI,2004,DTP3,76.073204
Asia,OWID_ASI,2005,DTP3,76.34098
Asia,OWID_ASI,2006,DTP3,77.660706
Asia,OWID_ASI,2007,DTP3,77.16274
Asia,OWID_ASI,2008,DTP3,80.77692
Asia,OWID_ASI,2009,DTP3,83.04901
Asia,OWID_ASI,2010,DTP3,84.75719
Asia,OWID_ASI,2011,DTP3,86.69858
Asia,OWID_ASI,2012,DTP3,86.76489
Asia,OWID_ASI,2013,DTP3,86.627464
Asia,OWID_ASI,2014,DTP3,88.11025
Asia,OWID_ASI,2015,DTP3,88.65347
Asia,OWID_ASI,2016,DTP3,89.47677
Asia,OWID_ASI,2017,DTP3,89.945595
Asia,OWID_ASI,2018,DTP3,90.364426
Asia,OWID_ASI,2019,DTP3,91.13414
Asia,OWID_ASI,2020,DTP3,87.368744
Asia,OWID_ASI,2021,DTP3,85.43384
Asia,OWID_ASI,2022,DTP3,91.16684
Asia,OWID_ASI,2023,DTP3,88.782524
Asia,OWID_ASI,2024,DTP3,
Asia,OWID_ASI,2000,HepB3,26.24336
